a,b,c,d,e,f,tag
-6.58964753e-01,-2.24528909e-02,-8.18077087e-01,-4.20186877e-01,-3.58161747e-01,-2.33401597e-01,1
-9.71219540e-01,-2.13560462e-02,-7.41812587e-01,-2.66714275e-01, 1.82048082e-01, 3.08177471e-02,1
-2.93813467e-01, 2.91949868e-01,-8.32198381e-01,-3.73353779e-01,-8.55605006e-02,-1.80522144e-01,1
-5.31101942e-01, 4.86768484e-02,-7.87738979e-01,-2.89396763e-01, 1.46539092e-01, 5.17904758e-03,1
-6.84755921e-01, 2.10920095e-01,-5.68155348e-01,-4.78639424e-01,-4.95089233e-01, 1.07680678e-01,1
 2.99844265e-01, 5.27440906e-01,-9.46278334e-01,-3.77112865e-01,-5.63852191e-02, 1.54004931e-01,1
-1.44988835e-01, 1.12968564e-01,-9.46713150e-01,-3.26028943e-01,-1.33342683e-01, 3.96946669e-02,1
-4.07727301e-01, 2.57791042e-01,-7.38857806e-01,-4.13818717e-01,-4.27655339e-01, 4.85181808e-05,1
-2.11036384e-01,-3.19028974e-01,-7.71643758e-01, 8.30935240e-02, 1.00000000e+00,-4.21451092e-01,1
 1.40540838e-01, 1.39788508e-01,-9.50096369e-01,-3.96869242e-01,-3.59807789e-01, 3.61814380e-01,1
 3.02594185e-01, 2.27874517e-02,-9.89200473e-01,-2.89200425e-01,-2.17466593e-01, 3.84737253e-02,1
 6.74285889e-01,-9.76578593e-02,-8.10956657e-01,-5.22060275e-01,-2.45268703e-01, 5.94255924e-02,1
-1.55279756e-01, 2.84984112e-02,-6.35069191e-01,-4.26813304e-01, 7.91211128e-02,-2.80319333e-01,1
 2.36643076e-01, 1.16033077e-01, 7.28755713e-01, 1.07563376e-01,-5.22916913e-01, 5.43604255e-01,1
 4.91960764e-01,-9.39624310e-02,-6.83302641e-01,-1.34611130e-02, 4.56637621e-01, 3.82825136e-02,1
-8.86325181e-01, 4.26898360e-01,-8.43801737e-01,-4.30830002e-01,-1.68040454e-01,-2.58700252e-02,1
-8.88156891e-03,-1.80486500e-01,-9.95320559e-01,-1.87511921e-01,-3.99846792e-01,-2.64529049e-01,1
 1.26236558e-01, 5.55268288e-01,-9.93747652e-01,-1.21958315e-01, 1.85020447e-01,-4.35549021e-02,1
-9.69194770e-01, 4.07064080e-01,-9.46435750e-01,-3.57929468e-01, 4.72602844e-02, 1.11447573e-02,1
-4.01439905e-01, 5.46137452e-01, 3.44405293e-01,-3.71410608e-01,-2.19238460e-01,-1.00000000e+00,1
 5.01828671e-01,-9.12866592e-02, 1.25705004e-02,-1.31758213e-01, 1.84001207e-01, 7.23025680e-01,1
-2.29837000e-01, 2.28958845e-01,-8.12672019e-01,-9.24199224e-02, 2.03328848e-01,-2.81808019e-01,1
 2.32017398e-01,-1.01528466e-01,-9.58644092e-01,-2.59734988e-01,-7.92490840e-02,-2.01075733e-01,1
-3.27075601e-01, 2.23434567e-01,-8.09739828e-01,-9.67958629e-01,-1.00000000e+00,-1.22242033e-01,1
-2.85684228e-01, 1.11336470e-01,-7.20557570e-01,-5.70442080e-01,-1.48398340e-01,-2.07979798e-01,1
-3.85037482e-01, 2.60200500e-01, 4.32165861e-01,-2.12876976e-01, 8.40582848e-02, 6.06956363e-01,1
 5.10949492e-01, 3.86570692e-02,-6.76176429e-01,-1.69429660e-01, 1.46008134e-01, 1.10281229e-01,1
 5.50485134e-01,-1.01592124e-01,-8.85719419e-01,-2.22391665e-01, 5.33424616e-02,-5.26052713e-02,1
-1.02260113e-02,-1.87375546e-02,-8.48272562e-01,-3.31365049e-01,-1.50358915e-01,-4.05275226e-02,1
-1.09534502e-01, 8.19873810e-03,-9.71745789e-01,-4.54106271e-01,-2.58332908e-01, 1.55340433e-02,1
-7.09674478e-01, 5.75973749e-01,-5.71900964e-01,-1.86425745e-01, 2.51282692e-01,-6.07309341e-02,1
-6.35218740e-01, 1.35023832e-01,-9.79075611e-01,-1.95962429e-01, 1.50952816e-01,-3.11643898e-01,1
 2.59416342e-01, 4.87670541e-01,-9.06674504e-01,-3.35307956e-01,-6.93345070e-03, 2.47720122e-01,1
-2.01905549e-01, 6.62541389e-03,-3.71562660e-01,-2.39617527e-01, 2.17171311e-01, 3.45823169e-01,1
-5.81068635e-01, 4.30917740e-01,-9.83501732e-01,-3.18973720e-01, 1.76219702e-01,-5.42736053e-03,1
 1.38463855e-01,-1.15777552e-01,-9.27209020e-01,-1.38916314e-01, 1.94096327e-01,-4.52010691e-01,1
-3.34230006e-01, 1.06766462e-01,-9.20577765e-01,-2.45373726e-01,-1.39938712e-01, 6.28479719e-01,1
-9.48604405e-01,-6.34120703e-02,-5.74278235e-01,-2.00842083e-01, 2.78076291e-01, 1.77251577e-01,1
-7.45748281e-01, 5.66793561e-01,-8.48645210e-01,-2.60410845e-01, 1.85132384e-01,-1.47302270e-01,1
-8.66065383e-01,-5.43882251e-02,-5.20390749e-01,-2.53462732e-01, 7.45518208e-02,-3.15433502e-01,1
-2.06810892e-01,-6.29007816e-02,-8.48979890e-01,-3.30591142e-01,-2.64745593e-01, 2.69480824e-01,1
 4.00922298e-01, 5.65253377e-01,-8.31026375e-01,-3.93046677e-01,-1.95647478e-01,-3.03559899e-02,1
-3.50304306e-01, 1.74024105e-01,-5.67653537e-01,-1.16125941e-02, 4.88004923e-01, 5.07591963e-02,1
 5.27530789e-01, 3.81224275e-01,-6.70226276e-01,-4.00543869e-01,-1.54043436e-01, 1.92121387e-01,1
-2.32753158e-02, 3.60402703e-01,-5.76330066e-01,-8.23013246e-01,-4.83329952e-01,-3.06400061e-02,1
-5.36148906e-01, 8.85329247e-02,-4.59408760e-01,-4.36086237e-01,-1.99545205e-01, 3.49352598e-01,1
-9.77246821e-01, 4.42491174e-01,-3.99167597e-01,-1.70813441e-01, 1.16599321e-01, 2.66494751e-02,1
-1.56255305e-01, 5.34650683e-01,-6.16425693e-01,-1.74097598e-01, 6.77251816e-03, 4.42118764e-01,1
-6.03627324e-01, 9.90830660e-02,-9.48054433e-01,-4.24615204e-01,-4.52574670e-01, 1.61929131e-01,1
 8.65521669e-01,-2.73182750e-01,-7.14501441e-01,-3.00753832e-01,-5.70984483e-02,-3.58342409e-01,1
-0.26875478, 0.4652599 ,-0.9804425 ,-0.05389172, 0.7560922 , 0.32313883,-1
-0.07874775,-0.19362384,-0.98684263, 0.07023513,-0.50818324,-0.2812028 ,-1
-0.3141153 ,-0.02829176,-0.86792636,-0.26010585,-0.14134598,-0.02382171,-1
-0.13540888,-0.10311353,-0.8776335 ,-0.58181083,-0.7197169 ,-0.21370143,-1
-0.39301878,-0.31558454,-0.84901386, 0.11691904,-0.57071936,-0.42834133,-1
-0.17280549,-0.2242595 ,-0.9058635 , 0.00285125,-0.00483751,-0.13428718,-1
 0.7308811 , 0.60061574,-0.9869755 ,-0.51693165, 0.09721637, 0.32111216,-1
 0.39422035, 0.12747955,-0.6698872 , 0.14043188,-0.4148662 ,-0.07505143,-1
-0.8724498 , 0.08254361,-0.876606  , 0.04630804,-0.4781977 ,-0.3123073 ,-1
 0.07158577,-0.23922187, 1.        , 0.20565128,-0.42371708, 0.80665374,-1
-0.6719444 , 0.4984926 ,-0.9729959 ,-0.38588548, 0.01578867, 0.01651204,-1
-0.04467124, 0.74093175,-0.83117896,-0.41408247, 0.38185823, 0.19495177,-1
 0.04488802,-0.26843822,-0.96535474,-0.10641122, 0.12510264, 0.05047631,-1
-0.08316368, 0.2520157 ,-0.8265731 , 0.00665736,-0.10754484,-0.18184513,-1
 0.50845146, 0.07633471,-0.47143143,-0.81375855, 0.20830011, 1.        ,-1
-0.71352375, 0.06343687,-0.99249095,-0.4328633 ,-0.07169676, 0.15123832,-1
-0.7388798 ,-0.10370654,-0.29329127, 0.06643474,-0.37094867, 0.2112602 ,-1
 0.08313668, 1.        ,-0.9720233 ,-0.5553179 , 0.29928768, 0.3549894 ,-1
 0.58701086,-0.30719292,-0.90876484,-0.5373419 ,-0.24324632, 0.0665611 ,-1
-0.32294655,-0.23214614,-0.6659514 , 0.04991543,-0.5528065 ,-0.54219794,-1
-0.6491573 ,-0.22901088,-0.5002749 ,-0.41245455, 0.42330027, 0.732764  ,-1
-0.22983927,-0.3335141 ,-0.9411659 ,-0.01188564,-0.34781718,-0.19414449,-1
-0.24032402, 0.34831142,-0.9091026 ,-0.47656316,-0.31694573,-0.13564694,-1
 0.6409552 ,-0.31094265,-0.95843846,-0.23191464,-0.19167197, 0.04625833,-1
-0.31638026,-0.11745423,-0.9765918 ,-0.48398465, 0.39096498, 0.18453002,-1
-0.27033442, 0.24605584,-0.7386805 , 0.22883296,-0.38776773,-0.24806917,-1
